DepMap_ID,Match_ID
ACH-002177,NCIH520_LUNG
ACH-002286,NCIH520_LUNG
ACH-002287,NCIH520_LUNG
ACH-002341,NCIH520_LUNG
ACH-000161,CORL24_LUNG
ACH-000662,CORL24_LUNG
ACH-000382,CORL24_LUNG
ACH-000257,CORL24_LUNG
ACH-000187,CORL24_LUNG
ACH-001489,CORL24_LUNG
ACH-001490,CORL24_LUNG
ACH-000695,CORL24_LUNG
ACH-001047,CORL24_LUNG
ACH-000508,CORL24_LUNG
ACH-000743,CORL24_LUNG
ACH-002095,CORL24_LUNG
ACH-000802,BFTC909_KIDNEY
ACH-000792,BFTC909_KIDNEY
ACH-000844,DMS454_LUNG
ACH-000866,NCIH1437_LUNG
ACH-000514,NCIH1437_LUNG
ACH-000780,NCIH1437_LUNG
ACH-000980,NCIH1437_LUNG
ACH-000523,NCIH1437_LUNG
ACH-000510,NCIH1437_LUNG
ACH-000921,NCIH1437_LUNG
ACH-000129,NCIH1437_LUNG
ACH-000666,NCIH1437_LUNG
ACH-000845,NCIH1437_LUNG
ACH-000737,NCIH1437_LUNG
ACH-000327,NCIH1437_LUNG
ACH-001591,NCIH1437_LUNG
ACH-000852,NCIH1437_LUNG
ACH-000830,NCIH1437_LUNG
ACH-000589,NCIH1437_LUNG
ACH-000506,NCIH1437_LUNG
ACH-000892,NCIH1437_LUNG
ACH-000869,NCIH1437_LUNG
ACH-000916,NCIH1437_LUNG
ACH-000015,NCIH1437_LUNG
ACH-000179,NCIH1437_LUNG
ACH-000744,NCIH1437_LUNG
